상품ID(내부용),상품명,카테고리,판매가,재고수량,옵션명1,옵션값1,옵션명2,옵션값2,브랜드,모델명,바코드,상세설명,대표이미지URL,추가이미지URL1,배송비,배송방법,원산지,제조사,과세구분,판매상태,전시상태,상품ID
54,[MOON] 더미 상품 054 (네이비/XL),패션의류 > 상의 > 티셔츠,56500,188,색상,네이비,사이즈,XL,MOON,MDL-0054,880233084014,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 054 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: XL, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,중국,MOON 제조사,면세,판매중,전시중,12708910827
58,[COOKMASTER] 더미 상품 058 (베이지/L),패션의류 > 하의 > 청바지,98000,93,색상,베이지,사이즈,L,COOKMASTER,MDL-0058,880333942770,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 058 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: L, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,일본,COOKMASTER 제조사,과세,판매중,전시중,12708910933
59,[COOKMASTER] 더미 상품 059 (베이지/250),패션의류 > 하의 > 청바지,51000,99,색상,베이지,사이즈,250,COOKMASTER,MDL-0059,880225994958,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 059 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: 250, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,COOKMASTER 제조사,면세,품절,전시안함,12708911010
60,[TECHONE] 더미 상품 060 (그레이/260),디지털/가전 > 모니터,119500,41,색상,그레이,사이즈,260,TECHONE,MDL-0060,880634677608,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 060 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: 260, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,TECHONE 제조사,면세,품절,전시안함,12708911094
62,[COOKMASTER] 더미 상품 062 (화이트/270),디지털/가전 > 모니터,67500,39,색상,화이트,사이즈,270,COOKMASTER,MDL-0062,880985386038,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 062 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,COOKMASTER 제조사,면세,품절,전시중,12708911169
63,[URBANWEAR] 더미 상품 063 (그레이/L),디지털/가전 > 노트북,136500,37,색상,그레이,사이즈,L,URBANWEAR,MDL-0063,880869301909,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 063 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,국산,URBANWEAR 제조사,과세,품절,전시중,12708911246
64,[STARLINE] 더미 상품 064 (레드/XL),패션의류 > 하의 > 청바지,11500,71,색상,레드,사이즈,XL,STARLINE,MDL-0064,880603769498,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 064 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,독일,STARLINE 제조사,면세,품절,전시중,12708911323
66,[STARLINE] 더미 상품 066 (그레이/XL),패션의류 > 하의 > 청바지,125000,145,색상,그레이,사이즈,XL,STARLINE,MDL-0066,880486272019,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 066 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,국산,STARLINE 제조사,과세,품절,전시안함,12708911426
67,[STARLINE] 더미 상품 067 (화이트/270),디지털/가전 > 노트북,145000,15,색상,화이트,사이즈,270,STARLINE,MDL-0067,880244589051,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 067 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: 270, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,국산,STARLINE 제조사,과세,판매중,전시안함,12708911521
68,[STARLINE] 더미 상품 068 (네이비/FREE),반려동물 > 강아지용품 > 사료,107500,23,색상,네이비,사이즈,FREE,STARLINE,MDL-0068,880492193430,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 068 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: FREE, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,일본,STARLINE 제조사,면세,판매중,전시안함,12708911581
69,[NAVYFOX] 더미 상품 069 (레드/FREE),반려동물 > 강아지용품 > 사료,24500,81,색상,레드,사이즈,FREE,NAVYFOX,MDL-0069,880618785777,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 069 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: FREE, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,미국,NAVYFOX 제조사,면세,판매중,전시안함,12708911693
72,[COOKMASTER] 더미 상품 072 (블랙/FREE),패션의류 > 상의 > 티셔츠,22500,175,색상,블랙,사이즈,FREE,COOKMASTER,MDL-0072,880466809931,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 072 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,미국,COOKMASTER 제조사,면세,판매중,전시안함,12708911775
73,[GREENPET] 더미 상품 073 (화이트/FREE),패션의류 > 상의 > 티셔츠,120000,187,색상,화이트,사이즈,FREE,GREENPET,MDL-0073,880114482030,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 073 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,독일,GREENPET 제조사,면세,판매중,전시안함,12708911857
74,[URBANWEAR] 더미 상품 074 (네이비/270),패션의류 > 하의 > 청바지,79000,61,색상,네이비,사이즈,270,URBANWEAR,MDL-0074,880619899174,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 074 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 270, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,롯데택배,독일,URBANWEAR 제조사,면세,판매중,전시중,12708911972
75,[COOKMASTER] 더미 상품 075 (레드/250),디지털/가전 > 노트북,128500,20,색상,레드,사이즈,250,COOKMASTER,MDL-0075,880965177550,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 075 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,베트남,COOKMASTER 제조사,면세,품절,전시안함,12708912041
77,[HOMEPLUS] 더미 상품 077 (베이지/FREE),패션의류 > 하의 > 청바지,44500,123,색상,베이지,사이즈,FREE,HOMEPLUS,MDL-0077,880567531709,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 077 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,CJ대한통운,베트남,HOMEPLUS 제조사,과세,판매중,전시중,12708912112
78,[URBANWEAR] 더미 상품 078 (베이지/FREE),패션잡화 > 가방 > 백팩,100000,94,색상,베이지,사이즈,FREE,URBANWEAR,MDL-0078,880990419424,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 078 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,CJ대한통운,베트남,URBANWEAR 제조사,과세,판매중,전시안함,12708912210
79,[COOKMASTER] 더미 상품 079 (그레이/M),패션의류 > 상의 > 티셔츠,130500,142,색상,그레이,사이즈,M,COOKMASTER,MDL-0079,880859798616,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 079 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: M, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,국산,COOKMASTER 제조사,과세,품절,전시중,12708912281
80,[MOON] 더미 상품 080 (레드/FREE),패션의류 > 상의 > 티셔츠,36000,91,색상,레드,사이즈,FREE,MOON,MDL-0080,880272702454,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 080 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,한진택배,미국,MOON 제조사,과세,판매중,전시안함,12708912369
82,[NAVYFOX] 더미 상품 082 (레드/L),디지털/가전 > 노트북,28000,59,색상,레드,사이즈,L,NAVYFOX,MDL-0082,880866684426,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 082 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: L, 카테고리: 디지털/가전 > 노트북.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,한진택배,국산,NAVYFOX 제조사,면세,판매중,전시중,12708912449
83,[HOMEPLUS] 더미 상품 083 (블랙/L),패션잡화 > 가방 > 백팩,99000,44,색상,블랙,사이즈,L,HOMEPLUS,MDL-0083,880930080675,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 083 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: L, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,중국,HOMEPLUS 제조사,과세,품절,전시중,12708912514
85,[HOMEPLUS] 더미 상품 085 (블랙/S),패션잡화 > 가방 > 백팩,36000,190,색상,블랙,사이즈,S,HOMEPLUS,MDL-0085,880781117549,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 085 입니다.
실제 판매용이 아닙니다.
색상: 블랙, 사이즈: S, 카테고리: 패션잡화 > 가방 > 백팩.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,한진택배,미국,HOMEPLUS 제조사,면세,품절,전시안함,12708912585
86,[URBANWEAR] 더미 상품 086 (그레이/L),패션의류 > 상의 > 티셔츠,146000,46,색상,그레이,사이즈,L,URBANWEAR,MDL-0086,880952000874,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 086 입니다.
실제 판매용이 아닙니다.
색상: 그레이, 사이즈: L, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,독일,URBANWEAR 제조사,면세,판매중,전시안함,12708912663
88,[GREENPET] 더미 상품 088 (베이지/FREE),패션의류 > 상의 > 티셔츠,79500,85,색상,베이지,사이즈,FREE,GREENPET,MDL-0088,880480947048,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 088 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: FREE, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,베트남,GREENPET 제조사,면세,품절,전시안함,12708912753
89,[URBANWEAR] 더미 상품 089 (레드/250),반려동물 > 강아지용품 > 사료,48500,90,색상,레드,사이즈,250,URBANWEAR,MDL-0089,880225646065,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 089 입니다.
실제 판매용이 아닙니다.
색상: 레드, 사이즈: 250, 카테고리: 반려동물 > 강아지용품 > 사료.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,롯데택배,미국,URBANWEAR 제조사,과세,품절,전시중,12708912813
91,[MOON] 더미 상품 091 (네이비/260),디지털/가전 > 모니터,10500,91,색상,네이비,사이즈,260,MOON,MDL-0091,880373261250,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 091 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 260, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,중국,MOON 제조사,면세,판매중,전시안함,12708912911
92,[TECHONE] 더미 상품 092 (네이비/270),패션의류 > 상의 > 티셔츠,68000,198,색상,네이비,사이즈,270,TECHONE,MDL-0092,880573033891,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 092 입니다.
실제 판매용이 아닙니다.
색상: 네이비, 사이즈: 270, 카테고리: 패션의류 > 상의 > 티셔츠.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,2500,택배,베트남,TECHONE 제조사,과세,품절,전시중,12708912996
94,[MOON] 더미 상품 094 (화이트/S),디지털/가전 > 모니터,16500,94,색상,화이트,사이즈,S,MOON,MDL-0094,880149300102,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 094 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: S, 카테고리: 디지털/가전 > 모니터.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,CJ대한통운,베트남,MOON 제조사,면세,품절,전시중,12708913064
95,[URBANWEAR] 더미 상품 095 (화이트/M),패션의류 > 하의 > 청바지,142500,56,색상,화이트,사이즈,M,URBANWEAR,MDL-0095,880192366408,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 095 입니다.
실제 판매용이 아닙니다.
색상: 화이트, 사이즈: M, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,3000,택배,국산,URBANWEAR 제조사,과세,품절,전시안함,12708913126
96,[STARLINE] 더미 상품 096 (베이지/XL),패션의류 > 하의 > 청바지,46000,99,색상,베이지,사이즈,XL,STARLINE,MDL-0096,880392197862,"네이버 스마트스토어 상품자동등록 API 테스트용 더미 상품 096 입니다.
실제 판매용이 아닙니다.
색상: 베이지, 사이즈: XL, 카테고리: 패션의류 > 하의 > 청바지.",https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,https://m.savoda.co.kr/web/product/big/202410/fba8c8cd5843c2394566028331c1abd4.jpg,0,택배,독일,STARLINE 제조사,면세,품절,전시안함,12708913242
